Centre,CUPs,Codigo,Estado,Comunidad,Provincia,Dirección Suministro,CP,Geo-Loaction,Energy Rating,Audit Status,Distribuidora Eléctrica
"Via Augusta 18, Pta. 2",ES0031408110586004DX,AA,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, E-1 2",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa)
Via Augusta 36,ES0031405968956002BN,AA,Alta,Catalunya,Barcelona,"VIA AUGUSTA 34, BJO",08006,"41.3995, 2.14456",C,Listo,e-distribución (Endesa)
Via Augusta 48,ES0031405422217008DK,AA,Alta,Catalunya,Barcelona,"VIA AUGUSTA 48, 3-3",08006,"41.39841, 2.15376",C,Listo,e-distribución (Endesa)
Pineda de Mar,ES0031405151382002EC,BB,Alta,Catalunya,Barcelona,"MONTPALAU 6, GESTORIA",08397,"41.62799, 2.68817",Pending Audit,No Data,e-distribución (Endesa)
Berga,ES0031408386025002RR,BL,Alta,Catalunya,Barcelona,"PZ CIM D' ESTELA 9, LOC, .",08600,"42.10506, 1.85174",D,Listo,e-distribución (Endesa)
Vilanova i la Geltrú,ES0031408409233003BJ,BK,Alta,Catalunya,Barcelona,"Rambla Samá, 81-83",08800,"41.22012, 1.72454",C,Listo,e-distribución (Endesa)
Badalona,ES0031408544624004WL,BC,Alta,Catalunya,Barcelona,CREU 27-LOCAL 2 I.IGLESIAS 2,08912,"41.44885, 2.24502",D,Listo,e-distribución (Endesa)
Guadalhorce,ES0031104239023001FP,KN,Alta,Andalucia,Málaga,"CARLO GOLDONI (PG.GUADALHORCE) 84, LOC",29004,"36.69845, -4.49216",C,Listo,e-distribución (Endesa)
"Via Augusta 18, Pta. 3",ES0031408110586007DJ,BD,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, E-1 3-1, Y 3ª 2ª",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa)
"Via Augusta 18, Pta. 2",ES0031408110586012DH,BD,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, E-1 6",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa)
"Via Augusta 18, ENT.",ES0031408110586018XR,BD,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, E-1 ENT",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa)
"Via Augusta 18, Pta. 1",ES0031405422205008VG,BD,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, NO USAR, 1-A",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa)
"Via Augusta 18, Pta BJ",ES0031405422206002ZD,BD,Alta,Catalunya,Barcelona,"VIA AUGUSTA 18, BJO, LOCAL",08006,"41.39708, 2.15485",C,Listo,e-distribución (Endesa)
Écija,ES0031104458193001FH,KO,Alta,Andalucia,Sevilla,"AV GENIL (DEL) 17, LC ASEPEYO",41400,"37.53432, -5.07822",D,Listo,e-distribución (Endesa)
L'Hospitalet de Llobregat,ES0031406231302005SB,BE,Alta,Catalunya,Barcelona,"AV CARRILET 223, LOC-3, ASEPEYO",08901,"41.36044, 2.11007",Pending Audit,No Data,e-distribución (Endesa)
Albacete,ES0021000000236589FP,GB,Alta,Cast. La Mancha,Albacete,"C/ JUAN DE TOLEDO, 1, Bajo",02005,"39.00027, -1.8606",C,Listo,i-DE (Iberdrola)
Mollet del Vallès,ES0031405016160002LB,BG,Alta,Catalunya,Barcelona,"AV JAUME I 190, BJO",08100,"41.54119, 2.21393",E,Listo,e-distribución (Endesa)
Granollers,ES0113000050679937ZD,BH,Alta,Catalunya,Barcelona,"Alfons Iv, 27-31",08402,"41.60466, 2.28826",C,Listo,Estabanell Energía
Granollers SOS,ES0113000050680935BH,BH,Alta,Catalunya,Barcelona,CALLE PALAUDARIES Nº34,,"41.60463, 2.2889",Pending Audit,No Data,Estabanell Energía
Sant Feliu de Llobregat,ES0031406291522002WM,BI,Alta,Catalunya,Barcelona,"JOSEP RICART 6, BJO-1, BAJOS",08980,"41.38023, 2.05357",C,Listo,e-distribución (Endesa)
Sants,ES0031405969735002WW,BJ,Alta,Catalunya,Barcelona,"LLANÇA 51, TORRE LLANSA, ENT-1",08015,"41.38055, 2.14416",C,Listo,e-distribución (Endesa)
Mercabarna,ES0031405895179001XL,BM,Alta,Catalunya,Barcelona,"MBARNA-L7 0, PARCELA S/N 8, 8-I",08040,"41.32564, 2.11717",D,Listo,e-distribución (Endesa)
Martorell SOS,ES0031405787596001EW,BN,Alta,Catalunya,Barcelona,"AV PAU CLARIS 18, LOC-2",08760,"41.47655, 1.92235",Pending Audit,No Data,e-distribución (Endesa)
Martorell,ES0031405787596002EA,BN,Alta,Catalunya,Barcelona,"AV PAU CLARIS 18, LOC-2",08760,"41.47655, 1.92236",D,Listo,e-distribución (Endesa)
Martorell-2,ES0031405868114001CQ,BN,Alta,Catalunya,Barcelona,PS CATALUNYA 8,08760,"41.47779, 1.92331",D,Listo,e-distribución (Endesa)
Manresa,ES0031405501056001XM,BO,Alta,Catalunya,Barcelona,CIRCUNVAL·LACIO 2,08243,"41.72731, 1.82492",Pending Audit,No Data,e-distribución (Endesa)
Sabadell,ES0031405290900003WK ES0031405290900002WC,BQ,Alta,Catalunya,Barcelona,"RD RAMBLA PONENT 8, BJO",08201,"41.54443, 2.10031",Pending Audit,No Data,e-distribución (Endesa)
Molins de Rei,ES0031408536780001AM,BR,Alta,Catalunya,Barcelona,CALLE SALVADOR SEGUI Nº10,08750,"41.40485, 2.02429",Pending Audit,No Data,e-distribución (Endesa)
Sagrera,ES0031405450729001FH,BS,Alta,Catalunya,Barcelona,"AV MERIDIANA 235, LOC, VTA AUTOS",08027,"41.41933, 2.18661",B,Listo,e-distribución (Endesa)
Vic-1,ES0031405538628001TX,BT,Alta,Catalunya,Girona,PZ ESTACIO 5,08500,"41.93131, 2.24938",D,Listo,e-distribución (Endesa)
Vic-2,ES0031405538630005HJ,BT,Alta,Catalunya,Girona,"PZ ESTACIO 7, BJO",08500,"41.93118, 2.24968",D,Listo,e-distribución (Endesa)
Gavà,ES0031406104147001RR,BU,Alta,Catalunya,Barcelona,"RB LLUCH 15, 8195, BJO",08850,"41.30377, 2.00945",E,Listo,e-distribución (Endesa)
El Prat de Llobregat,ES0031406277612001GJ,BV,Alta,Catalunya,Barcelona,"JAUME CASANOVAS 190, BJO-1",08820,"41.32296, 2.09386",D,Listo,e-distribución (Endesa)
El Prat de Llobregat,ES0031406277612002GZ,BV,Alta,Catalunya,Barcelona,"JAUME CASANOVAS 190, BJO-1",08820,"41.32296, 2.09387",D,Listo,e-distribución (Endesa)
Cerdanyola del Vallés,ES0031405058258002GF,BW,Alta,Catalunya,Barcelona,"AV CATALUNYA 49, LOC-1",08290,"41.49305, 2.1436",E,Listo,e-distribución (Endesa)
Casp,ES0031408341913001BE,BX,Alta,Catalunya,Barcelona,"CASP 76, LOCAL, CENTRE ASIS.",08010,"41.39258, 2.17524",Pending Audit,No Data,e-distribución (Endesa)
Mataró,ES0031405239579001TT,BY,Alta,Catalunya,Barcelona,CN RAL 608,08302,"41.53254, 2.4383",Pending Audit,No Data,e-distribución (Endesa)
Sant Boi de Llobregat,"ES0031405522809021XQ , ES0031405522809023XH",BZ,Alta,Catalunya,Barcelona,"SANT JOAN BOSCO 38, LOC, ASSISTENCIA",08830,"41.34033, 2.04532",D,Listo,e-distribución (Endesa)
Eloy Gonzalo,ES0021000005260236HH,CA,Alta,Madrid,Madrid,"Eloy Gonzalo, 23",28010,"40.43457, -3.70085",C,Listo,i-DE (Iberdrola)
