Centre,CUPs,Estado,Comunidad,Provincia,Dirección Suministro,CP,Geo-Loaction,Energy Rating,Audit Status,Distribuidora Eléctrica,Cups Gas
L'Hospitalet de Llobregat,ES0031406231302005SB,Alta,Catalunya,Barcelona,"AV CARRILET 223, LOC-3, ASEPEYO",08901,"41.36044, 2.11007",C,Listo,e-distribución (Endesa),
Albacete,ES0021000000236589FP,Alta,Cast. La Mancha,Albacete,"C/ JUAN DE TOLEDO, 1, Bajo",02005,"39.00027, -1.8606",C,Listo,i-DE (Iberdrola),
Mollet del Vallès,ES0031405016160002LB,Alta,Catalunya,Barcelona,"AV JAUME I 190, BJO",08100,"41.54119, 2.21393",E,Listo,e-distribución (Endesa),
Granollers,"ES0113000050679937ZD , ES0113000050680935BH",Alta,Catalunya,Barcelona,"Alfons Iv, 27-31",08402,"41.60466, 2.28826",C,Listo,Estabanell Energía,
Sant Feliu de Llobregat,ES0031406291522002WM,Alta,Catalunya,Barcelona,"JOSEP RICART 6, BJO-1, BAJOS",08980,"41.38023, 2.05357",C,Listo,e-distribución (Endesa),
Sants,ES0031405969735002WW,Alta,Catalunya,Barcelona,"LLANÇA 51, TORRE LLANSA, ENT-1",08015,"41.38055, 2.14416",C,Listo,e-distribución (Endesa),
Mercabarna,ES0031405895179001XL,Alta,Catalunya,Barcelona,"MBARNA-L7 0, PARCELA S/N 8, 8-I",08040,"41.32564, 2.11717",D,Listo,e-distribución (Endesa),
Martorell SOS,ES0031405787596001EW,Alta,Catalunya,Barcelona,"AV PAU CLARIS 18, LOC-2",08760,"41.47655, 1.92235",Pending Audit,No Data,e-distribución (Endesa),
Martorell,ES0031405787596002EA,Alta,Catalunya,Barcelona,"AV PAU CLARIS 18, LOC-2",08760,"41.47655, 1.92236",D,Listo,e-distribución (Endesa),
Martorell-2,ES0031405868114001CQ,Alta,Catalunya,Barcelona,PS CATALUNYA 8,08760,"41.47779, 1.92331",D,Listo,e-distribución (Endesa),
Manresa,ES0031405501056001XM,Alta,Catalunya,Barcelona,CIRCUNVAL·LACIO 2,08243,"41.72731, 1.82492",Pending Audit,No Data,e-distribución (Endesa),
Sabadell,"ES0031405290900003WK, ES0031405290900002WC",Alta,Catalunya,Barcelona,"RD RAMBLA PONENT 8, BJO",08201,"41.54443, 2.10031",Pending Audit,No Data,e-distribución (Endesa),
Molins de Rei,ES0031408536780001AM,Alta,Catalunya,Barcelona,CALLE SALVADOR SEGUI Nº10,08750,"41.40485, 2.02429",Pending Audit,No Data,e-distribución (Endesa),
Sagrera,ES0031405450729001FH,Alta,Catalunya,Barcelona,"AV MERIDIANA 235, LOC, VTA AUTOS",08027,"41.41933, 2.18661",B,Listo,e-distribución (Endesa),
Vic-1,ES0031405538628001TX,Alta,Catalunya,Girona,PZ ESTACIO 5,08500,"41.93131, 2.24938",D,Listo,e-distribución (Endesa),
Vic-2,ES0031405538630005HJ,Alta,Catalunya,Girona,"PZ ESTACIO 7, BJO",08500,"41.93118, 2.24968",D,Listo,e-distribución (Endesa),
Gavà,ES0031406104147001RR,Alta,Catalunya,Barcelona,"RB LLUCH 15, 8195, BJO",08850,"41.30377, 2.00945",E,Listo,e-distribución (Endesa),
El Prat de Llobregat,ES0031406277612001GJ,Alta,Catalunya,Barcelona,"JAUME CASANOVAS 190, BJO-1",08820,"41.32296, 2.09386",D,Listo,e-distribución (Endesa),
El Prat de Llobregat,ES0031406277612002GZ,Alta,Catalunya,Barcelona,"JAUME CASANOVAS 190, BJO-1",08820,"41.32296, 2.09387",D,Listo,e-distribución (Endesa),
Cerdanyola del Vallés,ES0031405058258002GF,Alta,Catalunya,Barcelona,"AV CATALUNYA 49, LOC-1",08290,"41.49305, 2.1436",E,Listo,e-distribución (Endesa),
Casp,ES0031408341913001BE,Alta,Catalunya,Barcelona,"CASP 76, LOCAL, CENTRE ASIS.",08010,"41.39258, 2.17524",Pending Audit,No Data,e-distribución (Endesa),
Mataró,ES0031405239579001TT,Alta,Catalunya,Barcelona,CN RAL 608,08302,"41.53254, 2.4383",Pending Audit,No Data,e-distribución (Endesa),
Sant Boi de Llobregat,"ES0031405522809021XQ , ES0031405522809023XH",Alta,Catalunya,Barcelona,"SANT JOAN BOSCO 38, LOC, ASSISTENCIA",08830,"41.34033, 2.04532",D,Listo,e-distribución (Endesa),
Eloy Gonzalo,ES0021000005260236HH,Alta,Madrid,Madrid,"Eloy Gonzalo, 23",28010,"40.43457, -3.70085",C,Listo,i-DE (Iberdrola),ES0217020170436953KP
Alcalá de Henares,ES0021000003951231FN,Alta,Madrid,Madrid,"Vía Complutense, 83",28805,"40.48847, -3.35684",Pending Audit,No Data,i-DE (Iberdrola),
Ciudad Lineal,"ES0022000006638356GZ , ES0022000007582708PD",Alta,Madrid,Madrid,"Alcalá, 463",28027,"40.43921, -3.63379",D,Listo,UFD (Naturgy),
Utebo,ES0031300248200002WL,Alta,Aragon,Zaragoza,"C. Rumanía, 1D, 50180 Utebo, Zaragoza
",50180,"41.71003, -1.0122",D,Listo,e-distribución (Endesa),
Fuenlabrada,ES0021000004235224GR,Alta,Madrid,Madrid,"Avda. de la Constitución, 63",28944,"40.28118, -3.78545",D,Listo,i-DE (Iberdrola),
Legazpi,ES0021000004930773TF,Alta,Madrid,Madrid,"Pº  de las Delicias, 135",28045,"40.39225, -3.69449",C,Listo,i-DE (Iberdrola),
Francisco Silvela,ES0021000004982444SC,Alta,Madrid,Madrid,"Francisco Silvela, 79-81",28028,"40.43648, -3.67702",C,Listo,i-DE (Iberdrola),
Móstoles-2,ES0021000015955227GD,Alta,Madrid,Madrid,"Los Maestros, 3",28935,"40.32668, -3.87971",E,Listo,i-DE (Iberdrola),
Pinto,ES0021000005501465LT,Alta,Madrid,Madrid,"C/ SALVADOR DALI, 11-BIS , Bajo",28320,"40.23828, -3.69881",D,Listo,i-DE (Iberdrola),
Torrejón de Ardoz,ES0021000005648016LH,Alta,Madrid,Madrid,"Avda. de la  Constitución, 99",28850,"40.45732, -3.47391",C,Listo,i-DE (Iberdrola),
Villaverde Alto,ES0021000004548434MC,Alta,Madrid,Madrid,"C/ DOMINGO PARRAGA, 52, Bajo 3",28021,"40.34218, -3.71345",C,Listo,i-DE (Iberdrola),
Alcobendas,ES0021000003990520JV,Alta,Madrid,Madrid,"Pº de Chopera, 28-30",28100,"40.53868, -3.63813",E,Listo,i-DE (Iberdrola),
Arganda del Rey,ES0022000008443501JG,Alta,Madrid,Madrid,"Avda. de Madrid, 28",28500,"40.30558, -3.45761",E,Listo,UFD (Naturgy),
Las Rozas,ES0021000005570367RV,Alta,Madrid,Madrid,"Ronda de la Plazuela, 9",28231,"40.49174, -3.87765",D,Listo,i-DE (Iberdrola),
Valdemoro,ES0021000005714126LA,Alta,Madrid,Madrid,"Pº de la Estación, 4-6",28343,"40.19131, -3.67316",D,Listo,i-DE (Iberdrola),
Collado Villalba,ES0021000012871178MF,Alta,Madrid,Madrid,"Camino del Molino, 21",28400,"40.62605, -4.02581",C,Listo,i-DE (Iberdrola),
Humanes,ES0021000015786110BB,Alta,Madrid,Madrid,"Ramón y Cajal, 15",28970,"40.25982, -3.82122",F,Listo,i-DE (Iberdrola),
Tres Cantos,ES0021000005768816GE,Alta,Madrid,Madrid,"Avda. de la Industria, 56",28760,"40.61481, -3.70278",D,Listo,i-DE (Iberdrola),
Ávila,ES0021000011885567RS,Alta,Cast. León,Ávila,"C/ LOS HORNOS CALEROS, 37-2, 1º 5",05003,"40.65084, -4.67614",E,Listo,i-DE (Iberdrola),
Badajoz,ES0031101525318002GB,Alta,Extremadura,Badajoz,"Av. Juan Pereda Pila, 16",06010,"38.86908, -6.97433",E,Listo,e-distribución (Endesa),
Cáceres,ES0021000002276644VD,Alta,Extremadura,Cáceres,"Avda. Hernán Cortés, 36",10004,"39.47611, -6.3794",D,Listo,i-DE (Iberdrola),
Cuenca,ES0032000002952991ET,Alta,Cast. La Mancha,Cuenca,CALLE HERMANOS BECERRIL Nº24,16004,"40.06152, -2.13184",G,Listo,Otra Distribuidora Local,
Guadalajara,ES0021000015737260AJ,Alta,Cast. La Mancha,Guadalajara,"C/ SATURNINO CALLEJA, 2-BIS , Bajo",19001,"40.64222, -3.14556",C,Listo,i-DE (Iberdrola),
Palencia,ES0021000006893417WS,Alta,Cast. León,Palencia,"Avda CASTILLA, 65, Bajo 4",34005,"42.00739, -4.53497",F,Listo,i-DE (Iberdrola),
Salamanca,ES0021000007115109GX,Alta,Cast. León,Salamanca,"P.º ESTACION, 27, Bajo 3",37004,"40.96957, -5.65608",C,Listo,i-DE (Iberdrola),
Segovia,ES0022000005217961AF,Alta,Cast. León,Segovia,PE PASEO CONDE DE SEPULVEDA 00022 * CL IN IC,40006,"40.93823, -4.11492",C,Listo,UFD (Naturgy),
Soria,ES0021000007301697CE,Alta,Cast. León,Soria,"C/ EDUARDO SAAVEDRA, 65, Bajo 2",42004,"41.75906, -2.47485",E,Listo,i-DE (Iberdrola),
Talavera de la Reina,ES0021000010451115XG,Alta,Cast. La Mancha,Toledo,"CALLE BANDERAS DE CASTILLA Nº2,",45600,"39.9624, -4.82503",D,Listo,i-DE (Iberdrola),
Tarragona,ES0031405650791001PZ,Alta,Catalunya,Tarragona,"AV CATALUNYA 43, BJO",43002,"41.12334, 1.2471",D,Listo,e-distribución (Endesa),
Toledo,ES0021000007536341XC,Alta,Cast. La Mancha,Toledo,"C/ ECUADOR, 4",45004,"39.86706, -4.02978",D,Listo,i-DE (Iberdrola),
Valladolid,ES0021000009322654MS,Alta,Cast. León,Valladolid,"Avda SALAMANCA, 1, Bajo 1",47014,"41.65895, -4.73447",C,Listo,i-DE (Iberdrola),
Zamora,ES0021000011980816WK,Alta,Cast. León,Zamora,"Avda PORTUGAL, 7, Bajo 5",49016,"41.50501, -5.73981",F,Listo,i-DE (Iberdrola),
Ciudad Real,ES0022000005012204GP,Alta,Cast. La Mancha,Ciudad Real,CL CALLE RAMON Y CAJAL 00012 * CL IN IC,13001,"38.98422, -3.92683",Pending Audit,No Data,UFD (Naturgy),
Ciudad Real-2,ES0022000007289476RG,Alta,Cast. La Mancha,Ciudad Real,CL CALLE CUCHILLERIA 00004   1,13001,"38.98492, -3.92794",D,Listo,UFD (Naturgy),
León,ES0021000013063393JB,Alta,Cast. León,León,"P.º LA CHANTRIA, 10, Bajo",24005,"42.58798, -5.57177",D,Listo,i-DE (Iberdrola),
Ponferrada,ES0022000005335459MK,Alta,Cast. León,León,CL CALLE GENERAL VIVES 00058 * CL IN IC,24401,"42.54905, -6.58381",E,Listo,UFD (Naturgy),
Puertollano,ES0022000005146640FD,Alta,Cast. La Mancha,Ciudad Real,AV AVENIDA PRIMERO DE MAYO 00042 DU CL IN IC,13500,"38.68643, -4.10314",D,Listo,UFD (Naturgy),
Valdepeñas,ES0022000007425527MX,Alta,Cast. La Mancha,Ciudad Real,"Seis de Junio, 49",13300,"38.76295, -3.38692",D,Listo,UFD (Naturgy),
Alcázar de San Juan,ES0022000008574691JW,Alta,Cast. La Mancha,Ciudad Real,Cl Poetisa Isabel Prieto 5,13600,"39.39303, -3.22067",C,Listo,UFD (Naturgy),
Villanueva de la Serena,ES0021000001933769JH,Alta,Extremadura,Badajoz,"Plza.  Corazón de Jesús, 11",06700,"38.97051, -5.7996",D,Listo,i-DE (Iberdrola),
Mérida,ES0031104135323002RV,Alta,Extremadura,Badajoz,"Av. Reina Sofía, s/n., bloque 1,",06800,"38.91228, -6.33515",E,Listo,e-distribución (Endesa),
Las Palmas,ES0031607030989001EM,Alta,Canarias,Las Palmas,AV JUAN XXIII 8.CTRO ASISTEN.,35004,"28.1199, -15.42498",B,Listo,e-distribución (Endesa),
Tenerife,ES0031607515650001FZ,Alta,Canarias,Tenerife,"AV SALLE (DE LA) 28 DUP, ASEPEYO, BJO, OFIC.SEGURO",38005,"28.4609, -16.25703",B,Listo,e-distribución (Endesa),
Tenerife 2,ES0031607515645001CM,Alta,Canarias,Tenerife,"AV SALLE (DE LA) 19 DUP, ASEPEYO, OFICINA",38005,"28.46086, -16.25679",B,Listo,e-distribución (Endesa),
Gran Canaria Sur,ES0031601327612002EM,Alta,Canarias,Las Palmas,CL PARTERA LEONORITA 4 LOCAL LOCAL,35100,"27.76616, -15.57402",D,Listo,e-distribución (Endesa),
Tenerife Sur,ES0031607591971009XF,Alta,Canarias,Tenerife,"AV ARQUITECTO GOMEZ CUESTA 6, PLAYA AZUL 2, LOC-5-",38660,"28.06573, -16.72887",B,Listo,e-distribución (Endesa),
Lanzarote,ES0031601107316021XW,Alta,Canarias,Las Palmas,CL NEPTUNO 5 LOCAL.DECORACION.,35500,"28.96587, -13.54904",C,Listo,e-distribución (Endesa),
Las Palmas - Puerto de la Luz,ES0031601013502001MS,Alta,Canarias,Las Palmas,"AV PETROLIFERAS 0, DARS. EXT., LOC, CENTR. MEDIC",35010,"28.15406, -15.41403",Pending Audit,No Data,e-distribución (Endesa),
Santa Cruz de La Palma,ES0031601066550008TV,Alta,Canarias,Tenerife,"Avda. Marítima, 77 (Edificio Aroda",38700,"28.68771, -17.75975",C,Listo,e-distribución (Endesa),
Telde,ES0031607113036005YY,Alta,Canarias,Las Palmas,AV CONSTITUCION 2.CLINICA.,35200,"27.9988, -15.41453",B,Listo,e-distribución (Endesa),
Huesca,ES0031300001885001YE,Alta,Aragon,Huesca,"PZ SAN ANTONIO 10, LOC",22002,"42.13543, -0.40799",E,Listo,e-distribución (Endesa),
Huesca,ES0031300001885035PX,Alta,Aragon,Huesca,"PZ SAN ANTONIO 10, LOC, .",22002,"42.13543, -0.40799",E,Listo,e-distribución (Endesa),
Lleida,ES0031406191677004GP,Alta,Catalunya,Lleida,"COMTESSA ELVIRA 13, BJO-1, TODO ELECTRI",25008,"41.62175, 0.62139",C,Listo,e-distribución (Endesa),
Tarragona Piso,ES0031405650793004AQ,Alta,Catalunya,Tarragona,"AV CATALUNYA 45, 1-1",43002,"41.12339, 1.24682",Pending Audit,No Data,e-distribución (Endesa),
Zaragoza,ES0031300014540042CA,Alta,Aragon,Zaragoza,"AV NAVARRA 73, LOC, MUTUA ACCID",50010,"41.65532, -0.90753",D,Listo,e-distribución (Endesa),
Girona,ES0031408559357001VK,Alta,Catalunya,Girona,CALLE JOAN TORRO I CABRATOSA Nº24,17005,"41.96458, 2.80788",C,Listo,e-distribución (Endesa),
Eivissa,"ES0031500044334012LR , ES0031500604178002RW , 
ES0031500604178001RR",Alta,Islas Baleares,Eivissa,"AV IGNASI WALLIS 39, LOCAL 6",07800,"38.9122, 1.43022",Pending Audit,No Data,e-distribución (Endesa),
Palma de Mallorca,ES0031500125062001QZ,Alta,Islas Baleares,Palma de Mallorca,"Ramón Berenguer III, 12",07003,"39.57895, 2.65126",C,Listo,e-distribución (Endesa),
Ciutadella,ES0031500004923001LL,Alta,Islas Baleares,Ciutadella,"Algaiarens, 3",07760,"40.00525, 3.84251",C,Listo,e-distribución (Endesa),
Maó,ES0031500023979001NJ,Alta,Islas Baleares,Maó,"Font i Vidal, 1",07700,"39.88679, 4.25352",C,Listo,e-distribución (Endesa),
Palamós,ES0031408196672002LK,Alta,Catalunya,Girona,"BARCELONA 10, LOC, LOCAL 2",17230,"41.85056, 3.12398",D,Listo,e-distribución (Endesa),
Cervera,ES0031405575380002BN,Alta,Catalunya,Lleida,"CALLE VIDAL DE MONTPALAU Nº15, ESC BAJO",25200,"41.67381, 1.27257",D,Listo,e-distribución (Endesa),
Utebo,ES0031300248200001WH,Alta,Aragon,Zaragoza,"PG EL AGUILA 0, CONSULTORIO",50180,,D,Listo,e-distribución (Endesa),
Manacor,ES0031500553476002RF,Alta,Islas Baleares,Manacor,"Vía Portugal, 6",07500,"39.56609, 3.21342",C,Listo,e-distribución (Endesa),
Olot,ES0122000011990531KD,Alta,Catalunya,Girona,AVENIDA DELS REIS CATOLICS Nº40,17800,"42.18427, 2.48124",D,Listo,Bassols Energia,
Figueres,ES0031446442794001MX,Alta,Catalunya,Girona,"MIGDIA 3, ASEPEYO, LOC, MUTUA",17600,"42.26324, 2.96772",D,Listo,e-distribución (Endesa),
Sabiñánigo,ES0030320039228001WB,Alta,Aragon,Huesca,"AV HUESCA 0, ASEGURADORA",22600,"42.51566, -0.36249",D,Listo,Otra Distribuidora Local,ES0238330000455200JH
Valls,ES0031408367614001ZV,Alta,Catalunya,Tarragona,"PS ESTACIO DE L' 5, LOCAL 4",43800,"41.28644, 1.25472",D,Listo,e-distribución (Endesa),
Alcañiz,ES0031300072350021BB,Alta,Aragon,Teruel,"AV GALAN BERGUA 31, BJO, A",44600,"41.05109, -0.12799",D,Listo,e-distribución (Endesa),ES0208330072350021PZ
Reus,ES0031406280073002PZ,Alta,Catalunya,Tarragona,"AV MARIA FORTUNY 2, BJO-1",43204,"41.15305, 1.11548",D,Listo,e-distribución (Endesa),
Alicante,ES0021000000643347MB,Alta,C. Valenciana,Alicante,"Avda JAIME I, 2, Bajo 3",03009,"38.36737, -0.49668",B,Listo,i-DE (Iberdrola),
Almería,ES0031104482138003EL,Alta,Andalucia,Almería,"Avda. Cabo de Gata, 25 . Edf. Vista Bahía",04007,"36.83213, -2.45809",C,Listo,e-distribución (Endesa),
Cartagena,ES0021000005892656FF,Alta,Murcia,Cartagena,"Carlos III, 10-A",30201,"37.6055, -0.98991",C,Listo,i-DE (Iberdrola),
Castellón,ES0021000002638315XM,Alta,C. Valenciana,Castellón,"C/ GRAN VIA TARREGA MONTEBLANCO, 16",12006,"39.98437, -0.04796",D,Listo,i-DE (Iberdrola),
Elche,ES0026000010191452HF,Alta,C. Valenciana,Alicante,"CL BARCHELL 23 CENTRO,0",03203,"38.26987, -0.66969",B,Listo,e-redes (EDP),
Murcia,ES0021000006251095CZ,Alta,Murcia,Murcia,"Avda. Don Juan de Borbón, 16",30007,"37.99417, -1.12419",C,Listo,i-DE (Iberdrola),
Olula del Río,ES0031103397469001TT,Alta,Andalucia,Almería,AVENIDA ALMANZORA Nº10,04860,"37.35557, -2.29575",C,Listo,e-distribución (Endesa),
Valencia Baleares,ES0021000008769780WS,Alta,C. Valenciana,Valencia,"Avda BALEARES, 16, Bajo Izq",46023,"39.46293, -0.35497",Pending Audit,No Data,i-DE (Iberdrola),
Paterna,ES0021000008296079ZE,Alta,C. Valenciana,Valencia,"Avda. Vicente Mortes, 100",46980,"39.51066, -0.45263",C,Listo,i-DE (Iberdrola),
Silla,ES0021000008462392TE,Alta,C. Valenciana,Valencia,"Avda. Alacant, 60 / Jose Peman",46460,"39.36524, -0.40737",C,Listo,i-DE (Iberdrola),
Benidorm,ES0021000000799912GS,Alta,C. Valenciana,Alicante,"C/ LA NUCIA, 4, 15 Edif. MarinaTolls II",03502,"38.54507, -0.1322",B,Listo,i-DE (Iberdrola),
Alzira,ES0021000012180263AN,Alta,C. Valenciana,Valencia,"C/ Trinidad Redal Dufaur, 53 ",46600,"39.1440 , -0.43133",C,Listo,i-DE (Iberdrola),
Gandía-1,ES0021000008025253SK,Alta,C. Valenciana,Valencia,"Plaça Parc de l'Estació, 20",46701,"38.97122, -0.18039",C,Listo,i-DE (Iberdrola),
Gandía-2,ES0021000008025302HR,Alta,C. Valenciana,Valencia,"Calderón de la Barca, 392",46701,"38.97133, -0.17996",C,Listo,i-DE (Iberdrola),
Valencia Cid,ES0021000008721059TP,Alta,C. Valenciana,Valencia,"Avda CID, 146, Bajo 01",46014,"39.47015, -0.41031",Pending Audit,No Data,i-DE (Iberdrola),
Valencia Cid,ES0021000008694283DG,Alta,C. Valenciana,Valencia,"Senda San Miguel de Soternes, 36, VALENCIA",,"39.47015, -0.41031",Pending Audit,No Data,i-DE (Iberdrola),
Almussafes,ES0021000010507535WM,Alta,C. Valenciana,Valencia,"Avda DE LA FOIA (PG REY JUAN CARLOS I), 8 esc. 1,",46440,"39.30676, -0.41322",D,Listo,i-DE (Iberdrola),
Almussafes,ES0021000010507536WY,Alta,C. Valenciana,Valencia,"Avda DE LA FOIA (PG REY JUAN CARLOS I), 8 esc. 1,",46440,"39.30676, -0.41322",D,Listo,i-DE (Iberdrola),
A Coruña,ES0022000004986538SX,Alta,Galicia,La Coruña,"Avda. Alfonso Molina, 8",15005,"43.36016, -8.40527",E,Listo,UFD (Naturgy),
Ferrol,ES0022000008919523DH,Alta,Galicia,La Coruña,"Gl. Poeta Uxio Novoneira, 1",15403,"43.48633, -8.21818",D,Listo,UFD (Naturgy),
Teruel,ES0031300524993001FR,Alta,Aragon,Teruel,"PS OVALO 9, ASEPEYO",44001,"40.34053, -1.10771",D,Listo,e-distribución (Endesa),
Ourense,ES0022000008321011TN,Alta,Galicia,Ourense,"Avda. do Regato, 1-3 (prolongación Ntra. Sra. de la Sainza-Rotonda C/. Zamora)",32005,"42.32441, -7.86311",D,Listo,UFD (Naturgy),
Pontevedra,ES0022000004977012SY,Alta,Galicia,Pontevedra,"Avda. Vigo, 34 (Edif. Oriente",36003,"42.42383, -8.63962",D,Listo,UFD (Naturgy),
Vigo,ES0022000004978865AL,Alta,Galicia,Pontevedra,"CL Barcelona, 37",36203,"42.22585, -8.72342",C,Listo,UFD (Naturgy),
Vilagarcía de Arousa,ES0022000004989841KR,Alta,Galicia,Pontevedra,"Rua José Fariña Ferreño, 13 bajo1",36600,"42.59208, -8.76296",D,Listo,UFD (Naturgy),
Vilagarcía de Arousa,ES0022000008995552AD,Alta,Galicia,Pontevedra,,,,D,Listo,UFD (Naturgy),
Santiago de Compostela,ES0022000001225321ZY1P,Alta,Galicia,La Coruña,AVENIDA BARCELONA 27,15706,"42.8708, -8.56126",C,Listo,UFD (Naturgy),
Burgos,ES0021000002078282VE,Alta,Cast. León,Burgos,"C/ VITORIA, 54, Bajo 2",09004,"42.34326, -3.68841",Pending Audit,No Data,i-DE (Iberdrola),
Vitoria,ES0021000000117888KX,Alta,Pais Vasco,Álava,"C/ PARAGUAY, 36, Bajo 5",1012,"42.86011, -2.67757",D,Listo,i-DE (Iberdrola),
San Sebastian,ES0021000017934872DK,Alta,Pais Vasco,Guipuzcoa,"C/ NEMESIO ETXANIZ, 8 , BAJO , LOCA",20014,"43.31157, -1.97084",D,Listo,i-DE (Iberdrola),
Llodio,ES0021000000025992GE,Alta,Pais Vasco,Álava,"Plaza Alberto Acero, 6",01400,"43.14117, -2.96418",D,Listo,i-DE (Iberdrola),
Logroño,ES0021000003895420HE,Alta,La Rioja,Logroño,"Avda. Madrid, 2",26007,"42.45529, -2.44829",E,Listo,i-DE (Iberdrola),
Pamplona,ES0021000006683398WD,Alta,Navarra,Pamplona,"C/ ESQUIROZ, 43 , BAJO , 5",31007,"42.80323, -1.65153",C,Listo,i-DE (Iberdrola),
Santander,ES0027700038251023XK,Alta,Cantabria,Santander,MARQUES DE LA HERMIDA 26  BAJ D01,39009,"43.45472, -3.81656",D,Listo,Viesgo Distribución,
Santander Oficina,ES0027700038254001WD,Alta,Cantabria,Santander,CL MARQUES DE LA HERMIDA 28  BAJ,39009,"43.45469, -3.8167",D,Listo,Viesgo Distribución,
Bilbao,ES0021000009664826RQ,Alta,Pais Vasco,Vizcaya,"Avda. Sabino Arana, 33-35",48013,"43.26068, -2.94609",D,Listo,i-DE (Iberdrola),
Azpeitia,ES0021000003155140DC,Alta,Pais Vasco,Guipuzcoa,"Avda LANDETA HIRIBIDEA, 1 , BAJO",20730,"43.17829, -2.25937",D,Listo,i-DE (Iberdrola),
Azpeitia,ES0021000003155142DE,Alta,Pais Vasco,Guipuzcoa,"Avda LANDETA HIRIBIDEA, 1 , BAJO , 13",20730,"43.17829, -2.25938",D,Listo,i-DE (Iberdrola),
Portugalete,ES0021000009924299JA1P,Alta,Pais Vasco,Vizcaya,"San Juan Bautista, 1",48920,"43.32257, -3.02527",D,Listo,i-DE (Iberdrola),
Bergara,ES0021000003468166AQ,Alta,Pais Vasco,Guipuzcoa,"Amilaga Kalea, 29",20570,"43.12663, -2.42309",E,Listo,i-DE (Iberdrola),
Basauri,ES0021000009468897QR,Alta,Pais Vasco,Vizcaya,"C/ URBI Kalea, 21, Bajo 7",48970,"43.23699, -2.87785",D,Listo,i-DE (Iberdrola),
Tolosa,ES0021000003456324VL,Alta,Pais Vasco,Guipuzcoa,"C/ IGARONDO KALEA, 7 , BAJO , 1",20400,"43.13703, -2.07077",E,Listo,i-DE (Iberdrola),
Tudela,ES0021000006795982KP,Alta,Navarra,Tudela,"Carretera Alfaro, 34",31500,"42.06445, -1.61439",E,Listo,i-DE (Iberdrola),
Durango,ES0021000009728591ZW,Alta,Pais Vasco,Vizcaya,"Murueta, Torre 2 A",48200,"43.172, -2.6311",D,Listo,i-DE (Iberdrola),
Algeciras,ES0031105567377001BW,Alta,Andalucia,Cadíz,"CARRETERA RINCONCILLO 1-GOLETA, BAJO Local 001",11205,"36.1535, -5.44682",C,Listo,e-distribución (Endesa),
